name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
narrow_x4_512_BF_t0,"[512, 512, 512, 512]",relu,0.2,False,0.002,-,-,-,128,120,1.2256520489019074,nan,238.7
bottleneck_2048_256_BF_t1,"[2048, 256, 2048]",relu,0.2,True,0.001,-,-,-,256,120,1.0230330132095358,nan,411.9
shallow_1024_BF_t2,[1024],gelu,0.0,True,0.002,-,-,-,256,120,1.0469462407582404,nan,218.2
deep_2048_1024_BF_t3,"[2048, 1024]",leakyrelu,0.0,False,0.001,-,-,-,192,120,1.0135358613567627,nan,282.4
medium_1536_768_384_BF_t4,"[1536, 768, 384]",leakyrelu,0.2,True,0.002,-,-,-,192,120,1.0398742193109511,nan,128.8
small_256_256_BF_t5,"[256, 256]",relu,0.1,False,0.002,-,-,-,128,120,1.0955079167311998,nan,122.0
narrow_x4_512_BF_t6,"[512, 512, 512, 512]",leakyrelu,0.2,True,0.003,-,-,-,256,120,1.0626578526811794,nan,127.9
medium_1536_768_384_BF_t7,"[1536, 768, 384]",gelu,0.0,True,0.003,-,-,-,192,120,1.0221928549899857,nan,128.0
medium_1536_768_384_BF_t8,"[1536, 768, 384]",gelu,0.0,True,0.002,-,-,-,256,120,1.032347224200687,nan,105.6
deep_2048_1024_BF_t9,"[2048, 1024]",leakyrelu,0.2,True,0.002,-,-,-,128,120,0.9992438363141755,nan,394.8
small_256_256_BF_t10,"[256, 256]",gelu,0.2,True,0.003,-,-,-,256,95,1.1672913110619858,nan,60.3
narrow_x4_512_BF_t11,"[512, 512, 512, 512]",gelu,0.0,False,0.001,-,-,-,256,120,1.0561357199885963,nan,125.1
