name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L2_512_512_BF_t0,"[512, 512]",gelu,0.0,True,0.001,-,-,-,256,50,1.0730749606047147,nan,215.1
L2_512_2048_BF_t1,"[512, 2048]",relu,0.2,True,0.002,-,-,-,256,50,1.0540997557619296,nan,274.6
L1_1024_BF_t2,[1024],tanh,0.2,True,0.002,-,-,-,256,50,1.1212372856974562,nan,228.3
L1_2048_BF_t3,[2048],tanh,0.2,False,0.001,-,-,-,192,50,1.1056885733685955,nan,302.7
L3_2048_1024_2048_BF_t4,"[2048, 1024, 2048]",gelu,0.0,False,0.002,-,-,-,128,50,1.0848907028074197,nan,353.8
L3_512_2048_512_BF_t5,"[512, 2048, 512]",leakyrelu,0.0,True,0.002,-,-,-,128,50,1.0373909182089749,nan,238.0
L2_2048_2048_BF_t6,"[2048, 2048]",gelu,0.2,False,0.002,-,-,-,128,50,1.210515101004718,nan,354.1
L3_1024_256_2048_BF_t7,"[1024, 256, 2048]",leakyrelu,0.2,False,0.001,-,-,-,192,50,1.094998330067677,nan,309.0
L3_1024_512_2048_BF_t8,"[1024, 512, 2048]",gelu,0.2,True,0.002,-,-,-,192,50,1.0207431960577458,nan,304.2
L1_2048_BF_t9,[2048],leakyrelu,0.1,False,0.001,-,-,-,128,50,1.0782998960528885,nan,350.2
L3_1024_2048_256_BF_t10,"[1024, 2048, 256]",relu,0.0,True,0.003,-,-,-,128,50,1.050178773803596,nan,219.5
L2_1024_256_BF_t11,"[1024, 256]",relu,0.0,True,0.003,-,-,-,256,50,1.0769363636543716,nan,194.7
L1_256_BF_t12,[256],gelu,0.2,True,0.003,-,-,-,256,50,1.110469185782486,nan,192.6
L1_1024_BF_t13,[1024],relu,0.1,False,0.001,-,-,-,256,50,1.0819324876812133,nan,232.0
L3_1024_2048_512_BF_t14,"[1024, 2048, 512]",relu,0.2,False,0.001,-,-,-,192,50,1.132180221521171,nan,220.8
L3_2048_1024_256_BF_t15,"[2048, 1024, 256]",relu,0.2,False,0.003,-,-,-,192,30,2.0336538440542578,nan,125.4
L1_256_BF_t16,[256],tanh,0.2,True,0.003,-,-,-,128,50,1.1710360801503676,nan,217.0
L2_256_2048_BF_t17,"[256, 2048]",leakyrelu,0.1,True,0.001,-,-,-,128,50,1.063100457171486,nan,357.5
L3_1024_1024_256_BF_t18,"[1024, 1024, 256]",leakyrelu,0.0,False,0.001,-,-,-,256,50,1.1464925424148682,nan,199.9
L2_1024_2048_BF_t19,"[1024, 2048]",tanh,0.1,False,0.003,-,-,-,256,50,1.1138194538065942,nan,280.1
L2_2048_512_BF_t20,"[2048, 512]",leakyrelu,0.0,True,0.002,-,-,-,128,50,1.0516891547029465,nan,236.8
L1_512_BF_t21,[512],gelu,0.0,False,0.001,-,-,-,128,50,1.07134602743629,nan,231.8
L3_1024_256_2048_BF_t22,"[1024, 256, 2048]",leakyrelu,0.2,True,0.002,-,-,-,192,50,1.0459784398413008,nan,310.8
L3_1024_256_512_BF_t23,"[1024, 256, 512]",relu,0.0,False,0.001,-,-,-,192,50,1.1176984659026143,nan,214.8
L3_256_1024_512_BF_t24,"[256, 1024, 512]",leakyrelu,0.0,True,0.002,-,-,-,192,50,1.0517588560508475,nan,219.3
L1_512_BF_t25,[512],tanh,0.2,True,0.003,-,-,-,128,50,1.1454412215434582,nan,230.4
L3_256_2048_2048_BF_t26,"[256, 2048, 2048]",tanh,0.2,True,0.002,-,-,-,128,50,1.061226881953082,nan,356.3
L2_1024_1024_BF_t27,"[1024, 1024]",gelu,0.0,False,0.002,-,-,-,256,50,1.0313037267436207,nan,231.1
L2_256_256_BF_t28,"[256, 256]",tanh,0.1,False,0.003,-,-,-,128,50,1.1371640225124966,nan,213.0
L1_512_BF_t29,[512],relu,0.0,False,0.003,-,-,-,192,50,1.072053162595229,nan,211.3
L2_512_2048_BF_t30,"[512, 2048]",leakyrelu,0.1,True,0.003,-,-,-,192,50,1.0316515722572104,nan,309.2
L1_256_BF_t31,[256],tanh,0.0,False,0.001,-,-,-,192,50,1.1538229788304815,nan,202.5
L3_1024_512_512_BF_t32,"[1024, 512, 512]",tanh,0.2,True,0.001,-,-,-,128,50,1.1101267643115522,nan,242.7
L3_1024_2048_2048_BF_t33,"[1024, 2048, 2048]",relu,0.1,False,0.001,-,-,-,256,50,1.0453997312917271,nan,282.6
L1_256_BF_t34,[256],gelu,0.2,True,0.003,-,-,-,256,50,1.1086825839713081,nan,192.9
L2_1024_256_BF_t35,"[1024, 256]",tanh,0.1,False,0.002,-,-,-,192,50,1.1399220873196174,nan,198.9
L1_512_BF_t36,[512],tanh,0.1,True,0.003,-,-,-,256,50,1.1287735210662315,nan,203.4
L2_512_512_BF_t37,"[512, 512]",relu,0.1,False,0.003,-,-,-,256,50,1.082716089545022,nan,204.1
L1_2048_BF_t38,[2048],leakyrelu,0.2,True,0.002,-,-,-,128,50,1.0426589042757566,nan,349.8
L2_512_256_BF_t39,"[512, 256]",leakyrelu,0.0,True,0.001,-,-,-,256,50,1.1178265571434387,nan,193.9
L3_256_256_2048_BF_t40,"[256, 256, 2048]",tanh,0.0,True,0.002,-,-,-,128,50,1.1048194112051983,nan,356.0
L1_256_BF_t41,[256],tanh,0.1,True,0.003,-,-,-,192,50,1.1460236654240055,nan,204.4
L2_1024_1024_BF_t42,"[1024, 1024]",gelu,0.1,False,0.002,-,-,-,192,50,1.0068990583192812,nan,249.9
L1_512_BF_t43,[512],relu,0.2,False,0.001,-,-,-,128,50,1.0815006754680483,nan,233.1
L3_1024_512_2048_BF_t44,"[1024, 512, 2048]",tanh,0.2,False,0.001,-,-,-,128,50,1.0817936889445106,nan,357.1
L1_512_BF_t45,[512],relu,0.2,True,0.002,-,-,-,256,50,1.0869128673299622,nan,210.0
L3_2048_512_2048_BF_t46,"[2048, 512, 2048]",relu,0.2,False,0.002,-,-,-,256,50,1.3016984407189625,nan,281.4
L2_256_512_BF_t47,"[256, 512]",tanh,0.2,True,0.001,-,-,-,128,50,1.1369400199851134,nan,236.0
L1_1024_BF_t48,[1024],leakyrelu,0.2,False,0.001,-,-,-,192,50,1.0831689511694607,nan,248.1
L2_2048_256_BF_t49,"[2048, 256]",relu,0.0,True,0.002,-,-,-,128,50,1.0637292201751596,nan,220.3
L3_2048_2048_512_BF_t50,"[2048, 2048, 512]",gelu,0.2,True,0.001,-,-,-,192,50,1.071522897655757,nan,222.5
L2_1024_256_BF_t51,"[1024, 256]",relu,0.2,True,0.001,-,-,-,256,50,1.1360859097628797,nan,200.1
L1_1024_BF_t52,[1024],tanh,0.1,False,0.003,-,-,-,192,50,1.116440626905942,nan,248.6
L3_1024_2048_512_BF_t53,"[1024, 2048, 512]",relu,0.0,True,0.003,-,-,-,256,50,1.048311141086352,nan,213.4
L1_256_BF_t54,[256],gelu,0.1,True,0.003,-,-,-,256,50,1.0965780865374803,nan,199.0
L1_2048_BF_t55,[2048],tanh,0.1,False,0.002,-,-,-,128,50,1.1142180799998336,nan,356.5
L1_256_BF_t56,[256],tanh,0.0,True,0.003,-,-,-,128,50,1.1191511958228075,nan,216.2
L2_512_2048_BF_t57,"[512, 2048]",gelu,0.0,False,0.001,-,-,-,128,45,1.0706374125715634,nan,321.0
L2_2048_256_BF_t58,"[2048, 256]",leakyrelu,0.0,True,0.002,-,-,-,256,50,1.085537902668663,nan,200.1
L3_1024_512_256_BF_t59,"[1024, 512, 256]",gelu,0.2,False,0.003,-,-,-,256,50,1.404412371817348,nan,200.9
L2_256_2048_BF_t60,"[256, 2048]",gelu,0.2,True,0.002,-,-,-,128,50,1.026921599214204,nan,358.0
L1_1024_BF_t61,[1024],tanh,0.2,True,0.001,-,-,-,256,50,1.1416393951645563,nan,234.2
L1_512_BF_t62,[512],leakyrelu,0.2,True,0.003,-,-,-,256,50,1.0750753762455862,nan,210.4
L1_2048_BF_t63,[2048],tanh,0.1,True,0.001,-,-,-,128,50,1.097625443410282,nan,356.5
L2_512_1024_BF_t64,"[512, 1024]",tanh,0.2,False,0.001,-,-,-,192,50,1.0756150760628256,nan,249.5
L1_512_BF_t65,[512],gelu,0.1,False,0.001,-,-,-,128,50,1.0711991082411103,nan,232.5
L2_512_1024_BF_t66,"[512, 1024]",relu,0.0,True,0.002,-,-,-,192,50,1.055641720489172,nan,249.6
L2_2048_1024_BF_t67,"[2048, 1024]",tanh,0.1,True,0.001,-,-,-,128,50,1.0648497870373639,nan,279.3
L1_512_BF_t68,[512],leakyrelu,0.2,True,0.001,-,-,-,192,50,1.1021272882374589,nan,218.2
L2_2048_1024_BF_t69,"[2048, 1024]",leakyrelu,0.2,False,0.002,-,-,-,128,50,1.1126284529369148,nan,277.2
L1_2048_BF_t70,[2048],gelu,0.1,False,0.001,-,-,-,192,50,1.0765971970805936,nan,308.5
L1_1024_BF_t71,[1024],gelu,0.2,False,0.002,-,-,-,256,50,1.060893944953857,nan,233.2
