name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
deep_2048_1024_t0,"[2048, 1024]",relu,0.1,False,0.002,-,-,-,192,120,1.229173437405304,nan,289.3
medium_1536_768_384_t1,"[1536, 768, 384]",gelu,0.1,True,0.001,-,-,-,256,120,1.2105430225138292,nan,107.1
deep_2048_1024_t2,"[2048, 1024]",gelu,0.1,True,0.003,-,-,-,256,120,1.2177428238910595,nan,230.6
small_256_256_t3,"[256, 256]",tanh,0.2,True,0.002,-,-,-,192,120,1.302861329936118,nan,96.7
bottleneck_2048_256_t4,"[2048, 256, 2048]",leakyrelu,0.0,True,0.002,-,-,-,128,100,1.242650253957364,nan,657.8
shallow_1024_t5,[1024],gelu,0.1,True,0.002,-,-,-,192,120,1.2663574521269048,nan,290.6
narrow_x4_512_t6,"[512, 512, 512, 512]",gelu,0.0,False,0.001,-,-,-,256,90,1.2469452124012823,nan,98.0
small_256_256_t7,"[256, 256]",leakyrelu,0.0,False,0.002,-,-,-,192,120,1.2413331137541113,nan,93.4
narrow_x4_512_t8,"[512, 512, 512, 512]",leakyrelu,0.1,True,0.001,-,-,-,128,120,1.2140204131183632,nan,223.6
shallow_1024_t9,[1024],tanh,0.1,True,0.003,-,-,-,128,120,1.2942309529038831,nan,399.8
deep_2048_1024_t10,"[2048, 1024]",tanh,0.1,False,0.002,-,-,-,192,120,1.251541299784779,nan,296.3
narrow_x4_512_t11,"[512, 512, 512, 512]",gelu,0.2,True,0.003,-,-,-,256,120,1.2199857551460893,nan,132.4
