[INFO] GPU detected:
Sun Nov 23 18:11:16 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   58C    P0             31W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loaded module: cuda/12.1
=== Starting training ===
[INFO] Loading tensors from: /dtu/blackhole/0e/213806/s243275/data.pt
[INFO] Shapes: X=torch.Size([19882, 45263])
[INFO] Loader sizes: train=265  val=24
loss   | mean = 359084.250, shape: []
elbo   | mean = -359084.250, shape: [19882]
log_px | mean = -359078.812, shape: [19882]
kl     | mean =      5.436, shape: [19882]
>> Using device: cuda:0
Epoch 001 | loss=72430.797 | elbo=-72430.797 | kl=1533.791
Epoch 002 | loss=63231.539 | elbo=-63231.539 | kl=1122.256
Epoch 003 | loss=55571.305 | elbo=-55571.305 | kl=877.187
Epoch 004 | loss=48131.078 | elbo=-48131.078 | kl=787.018
Epoch 005 | loss=45518.398 | elbo=-45518.398 | kl=695.705
Epoch 006 | loss=44755.230 | elbo=-44755.230 | kl=635.923
Epoch 007 | loss=44492.086 | elbo=-44492.086 | kl=586.822
Epoch 008 | loss=44128.387 | elbo=-44128.387 | kl=535.459
Epoch 009 | loss=43927.875 | elbo=-43927.875 | kl=506.255
Epoch 010 | loss=44031.535 | elbo=-44031.535 | kl=485.819
Epoch 011 | loss=43587.242 | elbo=-43587.242 | kl=452.363
Epoch 012 | loss=43410.980 | elbo=-43410.980 | kl=424.898
Epoch 013 | loss=42927.672 | elbo=-42927.672 | kl=411.963
Epoch 014 | loss=42321.195 | elbo=-42321.195 | kl=396.904
Epoch 015 | loss=41741.484 | elbo=-41741.484 | kl=385.396
Epoch 016 | loss=41187.836 | elbo=-41187.836 | kl=374.648
Epoch 017 | loss=40826.695 | elbo=-40826.695 | kl=376.692
Epoch 018 | loss=40342.641 | elbo=-40342.641 | kl=368.229
Epoch 019 | loss=39938.195 | elbo=-39938.195 | kl=359.954
Epoch 020 | loss=39707.000 | elbo=-39707.000 | kl=354.178
Epoch 021 | loss=39137.156 | elbo=-39137.156 | kl=340.085
Epoch 022 | loss=39071.359 | elbo=-39071.359 | kl=337.011
Epoch 023 | loss=38702.441 | elbo=-38702.441 | kl=332.519
Epoch 024 | loss=38410.555 | elbo=-38410.555 | kl=324.874
Epoch 025 | loss=38221.859 | elbo=-38221.859 | kl=319.066
Epoch 026 | loss=38147.461 | elbo=-38147.461 | kl=319.472
Epoch 027 | loss=37896.320 | elbo=-37896.320 | kl=305.514
Epoch 028 | loss=37887.453 | elbo=-37887.453 | kl=312.469
Epoch 029 | loss=37647.914 | elbo=-37647.914 | kl=305.674
Epoch 030 | loss=37422.961 | elbo=-37422.961 | kl=296.682
Epoch 031 | loss=37513.562 | elbo=-37513.562 | kl=299.760
Epoch 032 | loss=37488.781 | elbo=-37488.781 | kl=298.523
Epoch 033 | loss=37089.355 | elbo=-37089.355 | kl=284.263
Epoch 034 | loss=37003.652 | elbo=-37003.652 | kl=284.272
Epoch 035 | loss=36945.125 | elbo=-36945.125 | kl=287.845
Epoch 036 | loss=36923.434 | elbo=-36923.434 | kl=281.370
Epoch 037 | loss=37054.414 | elbo=-37054.414 | kl=283.648
Epoch 038 | loss=36570.559 | elbo=-36570.559 | kl=277.029
Epoch 039 | loss=36840.109 | elbo=-36840.109 | kl=280.526
Epoch 040 | loss=36425.848 | elbo=-36425.848 | kl=274.491
Epoch 041 | loss=36466.609 | elbo=-36466.609 | kl=272.864
Epoch 042 | loss=36435.418 | elbo=-36435.418 | kl=276.831
Epoch 043 | loss=36368.586 | elbo=-36368.586 | kl=275.791
Epoch 044 | loss=36287.047 | elbo=-36287.047 | kl=274.866
Epoch 045 | loss=36218.680 | elbo=-36218.680 | kl=272.114
Epoch 046 | loss=36271.094 | elbo=-36271.094 | kl=273.821
Epoch 047 | loss=35738.133 | elbo=-35738.133 | kl=266.563
Epoch 048 | loss=36076.586 | elbo=-36076.586 | kl=269.764
Epoch 049 | loss=35654.047 | elbo=-35654.047 | kl=267.238
Epoch 050 | loss=36084.723 | elbo=-36084.723 | kl=265.965
Epoch 051 | loss=35459.973 | elbo=-35459.973 | kl=264.085
Epoch 052 | loss=35510.641 | elbo=-35510.641 | kl=268.374
Epoch 053 | loss=35269.660 | elbo=-35269.660 | kl=264.897
Epoch 054 | loss=35193.465 | elbo=-35193.465 | kl=263.544
Epoch 055 | loss=35480.223 | elbo=-35480.223 | kl=263.636
Epoch 056 | loss=35266.375 | elbo=-35266.375 | kl=260.220
Epoch 057 | loss=35170.715 | elbo=-35170.715 | kl=263.225
Epoch 058 | loss=35190.441 | elbo=-35190.441 | kl=262.889
Epoch 059 | loss=34958.430 | elbo=-34958.430 | kl=263.313
Epoch 060 | loss=34844.680 | elbo=-34844.680 | kl=263.963
Epoch 061 | loss=34912.484 | elbo=-34912.484 | kl=264.795
Epoch 062 | loss=34999.414 | elbo=-34999.414 | kl=265.766
Epoch 063 | loss=35389.430 | elbo=-35389.430 | kl=263.777
Epoch 064 | loss=34464.477 | elbo=-34464.477 | kl=261.351
Epoch 065 | loss=35114.320 | elbo=-35114.320 | kl=264.835
Epoch 066 | loss=34601.605 | elbo=-34601.605 | kl=263.900
Epoch 067 | loss=34498.445 | elbo=-34498.445 | kl=258.409
Epoch 068 | loss=34707.723 | elbo=-34707.723 | kl=263.736
Epoch 069 | loss=34598.617 | elbo=-34598.617 | kl=263.492
Epoch 070 | loss=34075.762 | elbo=-34075.762 | kl=256.788
Epoch 071 | loss=33969.344 | elbo=-33969.344 | kl=261.159
Epoch 072 | loss=33874.422 | elbo=-33874.422 | kl=257.739
Epoch 073 | loss=34447.664 | elbo=-34447.664 | kl=260.566
Epoch 074 | loss=34219.879 | elbo=-34219.879 | kl=259.296
Epoch 075 | loss=33833.051 | elbo=-33833.051 | kl=257.258
Epoch 076 | loss=33785.242 | elbo=-33785.242 | kl=258.251
Epoch 077 | loss=34193.340 | elbo=-34193.340 | kl=259.255
Epoch 078 | loss=34183.234 | elbo=-34183.234 | kl=260.215
Epoch 079 | loss=33465.371 | elbo=-33465.371 | kl=250.699
Epoch 080 | loss=33596.527 | elbo=-33596.527 | kl=257.153
Epoch 081 | loss=34228.176 | elbo=-34228.176 | kl=259.884
Epoch 082 | loss=33851.320 | elbo=-33851.320 | kl=252.509
Epoch 083 | loss=33292.465 | elbo=-33292.465 | kl=255.306
Epoch 084 | loss=33865.301 | elbo=-33865.301 | kl=255.131
Epoch 085 | loss=33380.066 | elbo=-33380.066 | kl=255.303
Epoch 086 | loss=33606.828 | elbo=-33606.828 | kl=255.803
Epoch 087 | loss=33084.602 | elbo=-33084.602 | kl=253.400
Epoch 088 | loss=33097.648 | elbo=-33097.648 | kl=255.614
Epoch 089 | loss=34459.055 | elbo=-34459.055 | kl=256.916
Epoch 090 | loss=33935.164 | elbo=-33935.164 | kl=257.403
Epoch 091 | loss=33143.102 | elbo=-33143.102 | kl=254.898
Epoch 092 | loss=32960.961 | elbo=-32960.961 | kl=253.462
Epoch 093 | loss=34341.445 | elbo=-34341.445 | kl=253.042
Epoch 094 | loss=32675.336 | elbo=-32675.336 | kl=252.380
Epoch 095 | loss=32831.320 | elbo=-32831.320 | kl=248.477
Epoch 096 | loss=33362.398 | elbo=-33362.398 | kl=254.865
Epoch 097 | loss=33337.180 | elbo=-33337.180 | kl=253.394
Epoch 098 | loss=32670.725 | elbo=-32670.725 | kl=252.457
Epoch 099 | loss=33356.695 | elbo=-33356.695 | kl=252.894
