name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L1_512_t0,[512],gelu,0.0,True,0.002,-,-,-,192,50,0.8885015340967143,0.7320206761360168,44.4
L3_1024_1024_2048_t1,"[1024, 1024, 2048]",relu,0.2,False,0.001,-,-,-,192,30,1.4122464263595034,0.6161701679229736,84.3
L1_1024_t2,[1024],leakyrelu,0.2,True,0.003,-,-,-,256,50,0.8975231436487416,0.7298933863639832,63.8
L3_256_2048_2048_t3,"[256, 2048, 2048]",leakyrelu,0.0,True,0.001,-,-,-,192,50,0.9001846394201592,0.7267355918884277,129.2
L2_2048_256_t4,"[2048, 256]",gelu,0.1,False,0.001,-,-,-,128,30,3.138297695702768,0.0,43.9
L1_1024_t5,[1024],leakyrelu,0.1,True,0.002,-,-,-,192,50,0.8812115992270497,0.7353349328041077,81.0
L2_1024_512_t6,"[1024, 512]",relu,0.0,False,0.002,-,-,-,128,30,2.310171558119249,0.0,43.1
L3_2048_256_512_t7,"[2048, 256, 512]",leakyrelu,0.1,True,0.003,-,-,-,128,50,0.9568187837987548,0.7095170021057129,94.2
L2_2048_2048_t8,"[2048, 2048]",gelu,0.0,False,0.001,-,-,-,192,30,1.8008561581523075,0.38209012150764465,93.2
L1_256_t9,[256],gelu,0.1,False,0.002,-,-,-,192,50,1.0038188414568874,0.6967273950576782,25.3
L1_256_t10,[256],gelu,0.0,True,0.002,-,-,-,128,50,0.9123652010127038,0.723788321018219,33.9
L2_1024_1024_t11,"[1024, 1024]",relu,0.1,True,0.003,-,-,-,192,50,0.9035151426000081,0.7287856936454773,81.6
L1_256_t12,[256],relu,0.0,True,0.002,-,-,-,256,50,0.9372044944579354,0.7159839868545532,21.2
L1_256_t13,[256],gelu,0.2,False,0.002,-,-,-,192,50,1.2073643185570462,0.6273648142814636,25.3
L1_512_t14,[512],gelu,0.0,True,0.002,-,-,-,256,50,0.8937495016747978,0.730420708656311,36.1
L3_512_2048_1024_t15,"[512, 2048, 1024]",relu,0.0,True,0.002,-,-,-,128,50,0.8917634248573669,0.7291175723075867,103.1
L2_512_512_t16,"[512, 512]",tanh,0.2,True,0.001,-,-,-,128,50,0.9492705471756232,0.710442304611206,61.6
